ITERATION;TIME;MAIN_MEAN_QUEUE;MAIN_MEAN_LOAD;BACKUP_MEAN_QUEUE;BACKUP_MEAN_LOAD;ERRORS_RATIO;AVG_TIME_TO_PASS_MESSAGE
1;0;NaN;NaN;NaN;NaN;NaN;0.00000
1;100;0.37029;0.37029;0.00000;0.00000;0.00000;3.80638
1;200;0.43768;0.35267;0.00000;0.00000;0.00000;3.79547
1;300;0.79143;0.31827;0.10240;0.10240;0.00331;4.32536
1;400;0.46210;0.36657;0.09164;0.07337;0.00248;4.70015
1;500;0.41710;0.31295;0.05458;0.05458;0.00398;9.68675
1;600;0.40561;0.34602;0.92056;0.40914;0.00331;12.14109
1;700;0.39045;0.32253;0.86254;0.57139;0.00286;4.56967
1;800;0.44458;0.34992;0.77878;0.11119;0.00373;8.90491
1;900;0.71209;0.40127;0.71594;0.55469;0.00333;9.67707
1;1000;0.66894;0.35341;0.82819;0.09454;0.00399;9.99439
1;1100;0.82466;0.47502;1.12082;0.29943;0.00362;7.46160
1;1200;0.57495;0.40952;1.39503;0.42801;0.00333;5.91693
1;1300;0.72854;0.31743;1.26118;0.39449;0.00385;14.63195
1;1400;0.61127;0.34697;0.64683;0.37696;0.00357;5.30472
1;1500;1.14745;0.36379;0.91089;0.19456;0.00332;10.14523
1;1600;3.01198;0.48588;0.09572;0.08580;0.00374;4.58630
1;1700;2.13320;0.41738;0.85177;0.27887;0.00352;13.35776
1;1800;1.03490;0.38599;1.05173;0.25411;0.00333;12.28427
1;1900;2.08043;0.41236;0.88612;0.28936;0.00368;5.48812
1;2000;0.70485;0.37511;2.28876;0.48036;0.00350;8.90807
1;2100;1.54524;0.40198;0.59930;0.27538;0.00380;7.35276
1;2200;2.17474;0.41424;1.08315;0.37685;0.00363;13.43828
1;2300;0.49976;0.36307;3.13777;0.54058;0.00391;14.47192
1;2400;2.36131;0.34004;0.51881;0.18033;0.00333;10.60978
1;2500;1.03389;0.42704;2.02466;0.26560;0.00360;12.36414
1;2600;1.96781;0.40769;1.94518;0.41242;0.00384;9.33252
1;2700;0.73346;0.36251;3.64671;0.57053;0.00370;23.94721
1;2800;0.97590;0.35146;0.56954;0.21579;0.00357;5.46712
1;2900;4.16060;0.45536;0.37119;0.33163;0.00379;15.13309
1;3000;1.71266;0.40144;0.56725;0.22825;0.00367;17.92701
1;3100;0.90419;0.38007;2.41666;0.46206;0.00355;19.93501
1;3200;0.49981;0.36451;2.00642;0.38932;0.00344;9.22369
1;3300;1.09751;0.42291;4.33773;0.43572;0.00363;12.08706
1;3400;0.51019;0.38153;3.62423;0.55346;0.00382;10.05250
1;3500;0.58974;0.36962;4.51051;0.43974;0.00371;28.36586
1;3600;2.02750;0.42512;1.90276;0.45248;0.00361;8.44983
1;3700;1.34476;0.39342;2.98860;0.28380;0.00351;14.80975
1;3800;1.65099;0.38416;4.18554;0.41493;0.00368;30.72220
1;3900;0.75130;0.44928;5.35109;0.44332;0.00359;4.98520
1;4000;1.91210;0.39147;2.81692;0.44162;0.00375;9.02271
1;4100;1.37000;0.37113;3.70095;0.54346;0.00366;18.38042
1;4200;0.80386;0.38909;4.04995;0.52332;0.00357;10.43573
1;4300;0.95123;0.39970;4.14072;0.33301;0.00372;18.40378
1;4400;2.43524;0.44758;4.95212;0.39992;0.00364;9.29281
1;4500;3.11049;0.39730;1.29468;0.13295;0.00355;14.25898
1;4600;1.03831;0.35474;5.14867;0.58159;0.00370;12.08056
1;4700;1.25132;0.40378;2.67867;0.32288;0.00362;25.25315
1;4800;2.94620;0.39850;2.85952;0.35594;0.00375;28.61529
1;4900;1.29756;0.35582;2.55717;0.25199;0.00367;20.48320
1;5000;1.63117;0.38449;4.27368;0.41495;0.00380;26.00643
1;5100;0.84695;0.41464;5.86971;0.52608;0.00353;7.60839
1;5200;1.68901;0.37298;3.42439;0.25804;0.00365;14.70182
1;5300;2.12852;0.44016;5.17354;0.42830;0.00358;34.96426
1;5400;3.18914;0.40069;1.83809;0.33367;0.00370;21.16651
1;5500;1.33119;0.42903;6.49608;0.43152;0.00364;24.39686
1;5600;1.24742;0.36712;3.34741;0.34414;0.00357;21.55069
1;5700;0.92860;0.37274;6.44522;0.40891;0.00351;23.16502
1;5800;0.61719;0.31652;7.36422;0.40715;0.00379;56.28299
1;5900;2.63686;0.42924;3.06582;0.36308;0.00373;34.39382
1;6000;1.91512;0.35079;3.52188;0.40142;0.00350;17.86994
1;6100;5.05558;0.42665;2.74448;0.25836;0.00377;7.02700
1;6200;1.36680;0.39366;4.25820;0.35784;0.00371;30.11567
1;6300;3.38945;0.40882;3.34028;0.30680;0.00365;22.26990
1;6400;1.20936;0.37530;4.97689;0.47176;0.00375;10.88084
1;6500;2.26938;0.38004;5.76551;0.46753;0.00385;33.96504
1;6600;2.82366;0.37260;2.85302;0.30444;0.00379;32.61977
1;6700;1.19848;0.38968;5.87383;0.34209;0.00358;25.77616
1;6800;2.97808;0.42065;6.53163;0.38281;0.00368;38.01026
1;6900;4.68356;0.36874;2.66901;0.28395;0.00377;35.55956
1;7000;0.88436;0.34540;9.11076;0.53085;0.00371;45.95153
1;7100;0.85213;0.36558;5.09775;0.42514;0.00366;39.44611
1;7200;0.47761;0.37324;10.31021;0.60907;0.00375;23.67538
