ITERATION;TIME;MAIN_MEAN_QUEUE;MAIN_MEAN_LOAD;BACKUP_MEAN_QUEUE;BACKUP_MEAN_LOAD;ERRORS_RATIO;AVG_TIME_TO_PASS_MESSAGE
1;0;NaN;NaN;NaN;NaN;NaN;0.00000
1;100;0.49952;0.39096;0.00000;0.00000;0.00000;4.21857
1;200;0.60824;0.48213;0.02401;0.02401;0.00495;5.10726
1;300;1.18577;0.63960;0.15905;0.13507;0.00332;6.56971
1;400;0.73612;0.54461;0.09984;0.08208;0.00250;5.60652
1;500;0.55742;0.47237;0.12139;0.06986;0.00396;4.59310
1;600;0.46015;0.40213;0.27624;0.24516;0.00333;4.61194
1;700;0.52987;0.41549;0.42144;0.37882;0.00285;5.09652
1;800;0.59931;0.54181;0.35755;0.32549;0.00374;4.93280
1;900;0.47415;0.33195;0.70455;0.65253;0.00332;4.87237
1;1000;0.63983;0.35394;0.10828;0.07551;0.00399;9.67515
1;1100;0.43090;0.28784;0.68306;0.46718;0.00363;12.68198
1;1200;0.49042;0.42554;0.73811;0.55341;0.00333;15.36283
1;1300;0.67565;0.44391;0.27156;0.25006;0.00307;8.59995
1;1400;0.64217;0.43757;0.55877;0.39430;0.00355;6.04993
1;1500;0.52775;0.43167;0.30390;0.09781;0.00332;7.76732
1;1600;0.63895;0.49923;0.80194;0.48662;0.00375;10.82259
1;1700;0.64821;0.46271;0.73443;0.57542;0.00353;16.97998
1;1800;0.62293;0.44076;0.41693;0.39788;0.00389;8.64713
1;1900;0.57170;0.42954;0.45959;0.31111;0.00315;6.39057
1;2000;0.57797;0.40408;0.53053;0.30445;0.00350;13.62503
1;2100;0.53964;0.38146;0.24027;0.19719;0.00380;19.51202
1;2200;0.58418;0.38824;0.38757;0.18555;0.00364;5.78765
1;2300;0.45628;0.34813;0.38438;0.19708;0.00348;10.76108
1;2400;0.59985;0.39559;0.62383;0.24671;0.00333;16.17354
1;2500;0.53683;0.37683;0.48636;0.38169;0.00360;5.00912
1;2600;0.56479;0.38233;0.39249;0.37597;0.00346;4.67799
1;2700;0.49367;0.41797;0.66032;0.37290;0.00370;18.14562
1;2800;0.62779;0.41957;0.47409;0.30333;0.00357;6.88049
1;2900;0.53768;0.40178;0.39505;0.37307;0.00344;25.33533
1;3000;0.49944;0.36725;0.33487;0.22255;0.00366;14.56981
1;3100;0.53051;0.39901;0.64566;0.50337;0.00355;13.03308
1;3200;0.49070;0.37228;0.63916;0.60708;0.00375;14.47411
1;3300;0.54011;0.39629;0.61062;0.52820;0.00363;21.27396
1;3400;0.49057;0.34852;0.65741;0.56313;0.00382;4.65010
1;3500;0.58234;0.39450;0.57720;0.35542;0.00371;23.16835
1;3600;0.54839;0.38111;0.79267;0.50005;0.00361;29.61633
1;3700;0.53444;0.40576;0.55313;0.48098;0.00351;6.95827
1;3800;0.54907;0.38328;0.68027;0.53316;0.00368;13.93694
1;3900;0.59848;0.45158;0.54923;0.41623;0.00359;8.07848
1;4000;0.51170;0.38739;0.66093;0.30767;0.00375;4.96991
1;4100;0.41958;0.32886;0.49517;0.40633;0.00366;10.14063
1;4200;0.55013;0.36539;0.39901;0.33326;0.00381;25.96949
1;4300;0.51586;0.37035;0.60175;0.38432;0.00372;12.67236
1;4400;0.49226;0.39062;0.43299;0.31548;0.00364;23.62840
1;4500;0.51676;0.37509;0.44513;0.37335;0.00377;8.71856
1;4600;0.58177;0.39518;0.47749;0.39155;0.00369;24.65425
1;4700;0.52423;0.41724;0.56527;0.34443;0.00383;37.66755
1;4800;0.69142;0.40021;0.51704;0.38911;0.00375;17.27349
1;4900;0.60423;0.39373;0.65533;0.40377;0.00367;16.38597
1;5000;0.53520;0.33052;0.62343;0.51156;0.00360;41.97135
1;5100;0.43771;0.34891;0.43820;0.29837;0.00373;38.97664
1;5200;0.56955;0.43689;0.78599;0.47905;0.00365;23.63256
1;5300;0.56182;0.43383;0.55718;0.37427;0.00358;18.09668
1;5400;0.49019;0.38478;0.45938;0.36327;0.00370;18.52801
1;5500;0.58974;0.40176;0.40817;0.22983;0.00363;6.26491
1;5600;0.60559;0.40865;0.47385;0.36499;0.00375;31.13037
1;5700;0.51370;0.36725;0.73372;0.54725;0.00368;28.19031
1;5800;0.53962;0.37427;0.39907;0.33110;0.00362;22.57951
1;5900;0.54478;0.34957;0.53906;0.43899;0.00373;19.37076
1;6000;0.64135;0.43658;0.45651;0.34693;0.00367;22.17923
1;6100;0.52642;0.34209;0.57316;0.38097;0.00360;11.62804
1;6200;0.58264;0.42170;0.51156;0.46488;0.00371;29.69388
1;6300;0.53382;0.41836;0.39987;0.27615;0.00365;24.79354
1;6400;0.54884;0.38682;0.43695;0.34891;0.00359;38.62667
1;6500;0.61193;0.42026;0.49260;0.32495;0.00384;13.22099
1;6600;0.57806;0.42633;0.49893;0.28285;0.00363;31.19001
1;6700;0.58170;0.41119;0.60289;0.46378;0.00358;9.86819
1;6800;0.55444;0.42790;0.57692;0.46687;0.00367;23.64912
1;6900;0.58324;0.37948;0.40625;0.30126;0.00362;34.66345
1;7000;0.56419;0.37742;0.54275;0.36664;0.00357;41.42302
1;7100;0.48462;0.37334;0.64308;0.42440;0.00366;40.75260
1;7200;0.52701;0.39317;0.52442;0.35726;0.00361;28.62555
1;7300;0.48715;0.36611;0.52888;0.47277;0.00356;31.66750
1;7400;0.46318;0.36285;0.57721;0.40549;0.00351;39.13409
1;7500;0.60069;0.42575;0.48435;0.34208;0.00373;19.42536
1;7600;0.54748;0.40559;0.44247;0.30949;0.00368;36.56122
1;7700;0.54524;0.39778;0.54230;0.36308;0.00363;10.43904
1;7800;0.53417;0.37017;0.55610;0.43453;0.00372;44.18069
1;7900;0.54611;0.40114;0.61974;0.49116;0.00354;21.68543
1;8000;0.46217;0.34547;0.55531;0.34524;0.00362;42.05335
1;8100;0.49369;0.34879;0.55943;0.38352;0.00358;39.83507
1;8200;0.54490;0.39217;0.54107;0.38822;0.00366;36.73069
1;8300;0.51330;0.34940;0.51988;0.30045;0.00361;25.58677
1;8400;0.56332;0.38811;0.55289;0.40964;0.00369;52.41978
